,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Wojna,"['Działania wojenne', 'Interwencja zbrojna', 'Konflikt zbrojny', 'War']",['Walka'],"['Agresja (zbrojna napaść)', 'Badania nad pokojem', 'Bóstwa wojenne', 'Chirurgia wojenna', 'Cmentarze wojenne', 'Deklaracja petersburska (1868)', 'Doktryna wojenna', 'Ewakuacja', 'Filozofia wojny', 'Geografia wojenna', 'Historia', 'Historia wojskowa', 'Inwalidzi wojenni', 'Jeńcy wojenni', 'Kombatanci', 'Konwencja genewska (1864)', 'Konflikt międzynarodowy', 'Korespondenci wojenni', 'Łowcy głów (antropologia)', 'Mobilizacja (wojsko)', 'Naczelny dowódca sił zbrojnych', 'Nauki o obronności', 'Obrona terytorium kraju', 'Oddziały samoobrony', 'Ofiary wojny', 'Okupacja', 'Pojednanie', 'Polemologia', 'Polityka międzynarodowa', 'Poszukiwania zaginionych', 'Prawo do wojny', 'Prawo wojenne', 'Propaganda wojenna', 'Przemoc zbiorowa', 'Przemysł wojenny', 'Rekwizycje wojenne', 'Sankcje (prawo międzynarodowe)', 'Straty wojenne', 'Szabrownictwo', 'Sztuka wojenna', 'Teoretycy wojskowości', 'Wojownicy', 'Wojsko', 'Współpraca cywilno-wojskowa', 'Współpraca wojskowa', 'Zaopatrzenie kartkowe', 'Zbrojenia', 'Zdobycz wojenna']","['Bitwy', 'Działania nieregularne (wojsko)', 'Kampanie wojenne', 'Oblężenia', 'Walka informacyjna', 'Wojna cybernetyczna', 'Wojna biologiczna', 'Wojna błyskawiczna', 'Wojna chemiczna', 'Wojna domowa', 'Wojna ekonomiczna', 'Wojna górska', 'Wojna hybrydowa', 'Wojna lotnicza', 'Wojna morska', 'Wojna partyzancka', 'Wojna peryferyjna', 'Wojna podjazdowa', 'Wojna psychologiczna', 'Wojny religijne', 'Wojna zastępcza']","['Dziennik działań bojowych', 'Film wojenny', 'Fotografia wojenna', 'Gazeta frontowa']",,
Ekonomika wojenna,"['Ekonomika wojskowa', 'Gospodarka wojenna']",['Ekonomika'],"['Aprowizacja wojenna', 'Nauki o obronności', 'Potencjał wojenny']",,,,
Wojna biologiczna,"['Wojna bakteriologiczna', 'Biological warfare']",['Wojna'],['Broń biologiczna'],,,,
Wojna chemiczna,['Chemical warfare'],['Wojna'],"['Broń chemiczna', 'Obrona przeciwchemiczna']",,,,
Wojna lotnicza,"['Wojna powietrzna', 'Air warfare']",['Wojna'],"['Bombardowanie lotnicze', 'Lotnictwo wojskowe', 'Obrona przeciwlotnicza', 'Strzelanie powietrzne']",['Bitwy powietrzne'],,,
Wojna morska,['Naval art and science'],['Wojna'],"['Artyleria morska', 'Bomby głębinowe', 'Kaperstwo', 'Konwoje morskie', 'Marynarka wojenna', 'Miny morskie', 'Morza']",['Bitwy morskie'],,,
Wojna partyzancka,"['Partyzantka', 'Guerrilla warfare']","['Ruch oporu', 'Wojna']","['Działania nieregularne (wojsko)', 'Działania specjalne (wojsko)', 'Partyzanci', 'Wojna na Półwyspie Iberyjskim (1808-1814)', 'Wojna podjazdowa', 'Żołnierze wyklęci']","['Bitwa pod Ewiną (1944)', 'Bitwa pod Gruszką (1944)', 'Bitwa pod Jaktorowem (1944)', 'Bitwa pod Majerańcami (1944)', 'Bitwa pod Osuchami (1944)', 'Bitwa pod Pęcicami (1944)', 'Bitwa pod Porytowym Wzgórzem (1944)', 'Bitwa pod Rąblowem (1944)', 'Bitwa pod Skalbmierzem (1944)', 'Powstanie paryskie (1944)']",,,
Wojna psychologiczna,['Psychological warfare'],['Wojna'],"['Dywersja ideologiczna', 'Działania specjalne (wojsko)', 'Pranie mózgu', 'Propaganda']",,,,
Wojska najemne,"['Najemnicy', 'Mercenary troops']",['Wojsko'],"['Kaperstwo', 'Prywatne firmy wojskowe', 'Wojska zaciężne']",,,,
Wojska obrony wewnętrznej,,['Wojsko'],,,,,
Wojska pancerne,"['Broń pancerna', 'Wojska zmechanizowane', 'Armored troops']",['Wojsko'],"['Broń przeciwpancerna', 'Obrona przeciwpancerna', 'Pociągi pancerne', 'Wóz bojowy']","['Artyleria pancerna', 'Piechota zmechanizowana']",,,
Wojska powietrznodesantowe,"['Wojska powietrznomanewrowe', 'Wojska spadochronowe', 'Airborne troops']",['Wojsko'],"['Desant', 'Kawaleria powietrzna', 'Komandosi', 'Operacja Market-Garden (1944)', 'Wojska aeromobilne']",,,,
Wojsko,"['Armia', 'Siły zbrojne', 'Armed Forces', 'Armies']","['Służby mundurowe', 'System obronny państwa']","['Archiwa wojskowe', 'Biała gwardia', 'Biblioteki wojskowe', 'Broń', 'Bunty w wojsku', 'Cmentarze wojenne', 'Dowodzenie (wojsko)', 'Dyscyplina wojskowa', 'Dyslokacja (wojsko)', 'Działania specjalne (wojsko)', 'Dzieci-żołnierze', 'Ekwipunek wojskowy', 'Fala (wojsko)', 'Funkcjonariusze publiczni', 'Garnizon', 'Gotowość bojowa', 'Historia wojskowa', 'Integracja wojskowa', 'Jednostki wojskowe', 'Komunikacja strategiczna', 'Koń wojskowy', 'Logistyka wojskowa', 'Maskowanie (wojsko)', 'Meteorologia wojskowa', 'Militaria', 'Militaryzm', 'Mobilizacja (wojsko)', 'Mundury', 'Muzea wojskowe', 'Nauki o obronności', 'Ochotnicy (wojsko)', 'Odznaki i oznaki', 'Operacje pokojowe', 'Organizacje paramilitarne', 'Orkiestry wojskowe', 'Osadnictwo wojskowe', 'Pies wojskowy', 'Pododdział (wojsko)', 'Poligon wojskowy', 'Prawo karne wojskowe', 'Prawo wojskowe', 'Prowokacja zbrojna', 'Prywatne firmy wojskowe', 'Przedsiębiorstwo wojskowe', 'Ratownictwo taktyczne', 'Ratownictwo wojskowe', 'Siły specjalnego przeznaczenia', 'Służba czołgowo-samochodowa', 'Służba wojskowa', 'Stacjonowanie wojsk obcych', 'Stopnie wojskowe i służb mundurowych', 'Szkoły wojskowe', 'Szpitale wojskowe', 'Sztandary wojskowe', 'Sztuka wojenna', 'Świadczenia dla wojska', 'Tajemnica wojskowa', 'Technika wojskowa', 'Teoretycy wojskowości', 'Turystyka militarna', 'Uroczystości wojskowe', 'Więziennictwo wojskowe', 'Wojna', 'Wojskowe zespoły artystyczne', 'Wojskowy oddział gospodarczy (WOG)', 'Współpraca cywilno-wojskowa', 'Współpraca wojskowa', 'Żołd', 'Żołnierze', 'Żywienie w wojsku']","['Administracja wojskowa', 'Artyleria', 'Grupy bojowe', 'Gwardia (wojsko)', 'Hetmani', 'Jeńcy wojenni', 'Kapelani wojskowi', 'Kawaleria', 'Komandosi', 'Kwatermistrzostwo', 'Lotnictwo wojskowe', 'Marynarka wojenna', 'Naczelny dowódca sił zbrojnych', 'Obozy wojskowe', 'Oficerowie', 'Piechota', 'Poborowi', 'Podoficerowie', 'Pospolite ruszenie', 'Rezerwiści', 'Rycerstwo', 'Saperzy', 'Siły nieregularne', 'Spadochroniarze', 'Strzelcy wyborowi', 'Siły szybkiego reagowania', 'Służba wartownicza', 'Straż graniczna', 'Wojska aeromobilne', 'Wojska chemiczne', 'Wojska drogowo-mostowe', 'Wojska górskie', 'Wojska kolejowe', 'Wojska lądowe', 'Wojska najemne', 'Wojska obrony terytorialnej', 'Wojska obrony wewnętrznej', 'Wojska pancerne', 'Wojska powietrznodesantowe', 'Wojska radiotechniczne', 'Wojska rakietowe', 'Wojska zaciężne', 'Wojskowa służba weterynaryjna', 'Wyprawy łanowe (wojsko)', 'Wywiad wojskowy', 'Żandarmeria wojskowa']","['Czasopismo wojskowe', 'Dziennik działań bojowych', 'Muzyka wojskowa', 'Plakat wojskowy', 'Przysięga wojskowa', 'Testament wojskowy']",,
Sprzęt wojskowy,"['Military equipment', 'Sprzęt bojowy', 'Wyposażenie wojskowe', 'Sprzęt wojenny']",,"['Broń', 'Okręty wojenne', 'Pojazdy wojskowe', 'Radar', 'Samoloty wojskowe', 'Śmigłowce wojskowe', 'Technika wojskowa', 'Znaki rozpoznawcze (sprzęt wojskowy)']","['Ekwipunek wojskowy', 'Kuchnia polowa', 'Namiot', 'Radar Würzburg', 'Park pontonowy']",,,
Wóz bojowy,"['Wozy bojowe', 'Armored vehicles, Military']",['Pojazdy wojskowe'],"['Służba czołgowo-samochodowa', 'Wojska pancerne']","['Amfibie', 'Czołgi', 'Samochody pancerne', 'Transportery opancerzone', 'Wozy dowodzenia']",,,
Wybuch,"['Detonacja', 'Eksplozja']",['Reakcje chemiczne'],"['Dynamika', 'Inertyzacja', 'Instalacje elektryczne przeciwwybuchowe', 'Materiały wybuchowe', 'Odporność na wybuch', 'Strefa zagrożenia wybuchem', 'VEX', 'Zagęszczanie gruntów metodą mikrowybuchów', 'Zgrzewanie wybuchowe']",['Kumulacja (wybuch)'],,,
Wypadki,['Wypadek'],,"['Bezpieczeństwo publiczne', 'Higiena', 'Katastrofy', 'Kultura sprawiedliwego traktowania', 'Obrażenia', 'Ofiary katastrof i wypadków', 'Przyczynienie się poszkodowanego do powstania szkody', 'Ratownictwo', 'Urazy', 'Upadek z wysokości', 'Zagrożenia górnicze']","['Utonięcie', 'Wypadki komunikacyjne', 'Wypadki nadzwyczajne w miejscach pozbawienia wolności', 'Wypadki przy pracy', 'Wypadki w domu', 'Wypadki w górach', 'Wypadki w sporcie']",,,
Wypadki kolejowe,"['Katastrofa kolejowa', 'Katastrofy kolejowe', 'Wypadek kolejowy', 'Kolejowe, wypadki']",['Wypadki komunikacyjne'],"['Kolejnictwo', 'Transport kolejowy']",['Katastrofa kolejowa pod Otłoczynem (1980)'],,,
Wywiad,"['Kontrwywiad', 'Służby wywiadowcze']",['Służby specjalne'],"['Podwójni agenci', 'Polityka', 'Rozpoznanie obrazowe (IMINT)', 'Szpiegostwo', 'Walka informacyjna', 'Wywiad afgański', 'Wywiad amerykański', 'Wywiad angielski', 'Wywiad austriacki', 'Wywiad białoruski', 'Wywiad birmański', 'Wywiad bułgarski', 'Wywiad chiński', 'Wywiad czechosłowacki', 'Wywiad czeski', 'Wywiad duński', 'Wywiad estoński', 'Wywiad fiński', 'Wywiad francuski', 'Wywiad hiszpański', 'Wywiad holenderski', 'Wywiad indyjski', 'Wywiad iracki', 'Wywiad izraelski', 'Wywiad japoński', 'Wywiad jordański', 'Wywiad kazachski', 'Wywiad kubański', 'Wywiad litewski', 'Wywiad łotewski', 'Wywiad niemiecki', 'Wywiad niemiecki (NRD)', 'Wywiad niemiecki (RFN)', 'Wywiad norweski', 'Wywiad pakistański', 'Wywiad palestyński', 'Wywiad państwa krzyżackiego', 'Wywiad papieski', 'Wywiad polski', 'Wywiad północnokoreański', 'Wywiad pruski', 'Wywiad radziecki', 'Wywiad rosyjski', 'Wywiad rumuński', 'Wywiad saudyjski', 'Wywiad syryjski', 'Wywiad szwedzki', 'Wywiad turecki', 'Wywiad ukraiński', 'Wywiad węgierski', 'Wywiad włoski']","['Biały wywiad', 'Wywiad gospodarczy', 'Wywiad wojskowy']",,,
Wywiad gospodarczy,['Wywiad przemysłowy'],['Wywiad'],"['Informacja gospodarcza', 'Nieuczciwa konkurencja', 'Własność przemysłowa']",,,,
Zbroja,"['Body armor', 'Zbroje']",['Broń ochronna'],"['Płatnerstwo', 'Rycerstwo']","['Półzbroja', 'Szyszak (hełm)', 'Zbroja końska']",,,
Zbrojenia,['Military readiness'],,"['Kontrola zbrojeń', 'Militaryzm', 'Odstraszanie militarne', 'Plan Gomułki (1963-1964)', 'Plan Rapackiego (1957)', 'Przemysł zbrojeniowy', 'Rozbrojenie', 'Wojna', 'Wyścig zbrojeń']",,,,
Zderzenie na morzu,"['Zderzenia na morzu', 'Zderzenia statków morskich', 'Zderzenia (żegluga morska)', 'Zderzenie statków morskich', 'Zderzenie (żegluga morska)']",['Wypadki morskie'],['Zderzenia (mechanika)'],,,,
Zdobycz wojenna,"['Łupy', 'Military trophies', 'Trofea wojenne']",['Majątek'],['Wojna'],,,,
Mundury,"['Umundurowanie', 'Military uniforms']",['Ubiór'],"['Ekwipunek wojskowy', 'Wojsko']","['Czapki wojskowe', 'Obuwie wojskowe']",,,
Musztra,,['Szkolenie wojskowe'],['Harcerstwo'],,,,
Orkiestry wojskowe,,['Orkiestry'],"['Wojsko', 'Wojskowe zespoły artystyczne']",,,,
Obrona przeciwatomowa,,['Obrona przed bronią masowego rażenia'],['Broń jądrowa'],,,,
Obrona przeciwchemiczna,,['Obrona przed bronią masowego rażenia'],"['Wojna chemiczna', 'Wojska chemiczne']",,,,
Obrona przeciwgazowa,,['Obrona przed bronią masowego rażenia'],"['Gazy bojowe', 'Maska przeciwgazowa']",,,,
Obrona przeciwlotnicza,"['Obrona powietrzna', 'Osłona przeciwlotnicza', 'Air defenses']",['Obrona terytorium kraju'],"['Bezpieczeństwo powietrzne państwa', 'Broń przeciwlotnicza', 'Lotnictwo wojskowe', 'System obrony powietrznej ""Narew""', 'System obrony powietrznej ""Wisła""', 'Wojna lotnicza']","['Artyleria przeciwlotnicza', 'Bierna obrona przeciwlotnicza', 'Obrona przeciwrakietowa']",,,
Obrona terytorium kraju,['Defensive (Military science)'],['System obronny państwa'],"['Działania nieregularne (wojsko)', 'Obrona cywilna', 'Oddziały samoobrony', 'Plan operacyjny Zachód (1939)', 'Przysposobienie wojskowe', 'Schrony', 'Wojna', 'Wojska obrony terytorialnej']","['Obrona przeciwlotnicza', 'Obrona przeciwpancerna', 'Obrona przed bronią masowego rażenia']",,,
Oficerowie,['Army Officer'],"['Wojsko', 'Żołnierze']","['Attaché obrony', 'Centurionowie (wojsko rzymskie)', 'Kordzik', 'Trybuni wojskowi (wojsko rzymskie)', 'Zawodowa służba wojskowa']","['Admirałowie', 'Generałowie', 'Oficerowie łącznikowi', 'Oficerowie polityczni']",,,
Okręty desantowe,['Amphibious assault ships'],['Okręty wojenne'],"['Desant', 'Gniezno (okręt wojenny)', 'Kraków (okręt wojenny ; 1990- )', 'Lublin (okręt wojenny)', 'Poznań (okręt wojenny)', 'Toruń (okręt wojenny ; 1991- )']","['Grunwald (okręt desantowy)', 'Nysa (okręt ; 1966-1990)']",,,
Okręty podwodne,"['Łodzie podwodne', 'Submarines (Ships)']",['Okręty wojenne'],['Peryskop (urządzenie optyczne)'],"['Cavalla (okręt podwodny)', 'Dzik (okręt ; 1942-1958)', 'Jastrząb (okręt podwodny)', 'K-129 (okręt podwodny)', 'K-141 Kursk (okręt podwodny)', 'Kondor (okręt ; 1965-1985)', 'Kursk (okręt wojenny)', 'Lexington (okręt)', 'Nautilus (okręt podwodny, SSN-571)', 'Nebraska (okręt)', 'Nieuchwytny (okręt)', 'Okręty podwodne miniaturowe', 'Okręty podwodne projektu 641', 'Okręty podwodne typu 207 Kobben', 'Okręt podwodny typu XXI', 'Okręt podwodny typu XB', 'Orzeł (okręt podwodny ; 1939-1940)', 'Orzeł (okręt podwodny ; 1986- )', 'Ryś (okręt podwodny)', 'Scirè (okręt)', 'SM U-72 (okręt podwodny)', 'Sęp (okręt podwodny ; 1939-1969)', 'Sokół (okręt ; 1940-1949)', 'Squalus (okręt)', 'Tang (okręt podwodny)', 'U-864 (okręt podwodny)', 'U-977 (okręt podwodny)', 'Wilk (okręt podwodny ; 1931-1946)', 'Żbik (okręt podwodny)']",,,
Okręty wojenne,"['Statki wojenne', 'Warships']",['Statki'],"['Czajka (łódź)', 'Flotylla rzeczna', 'Galeony (żaglowce)', 'Marynarka wojenna', 'Lotnictwo pokładowe', 'Okrętowy turbinowy silnik spalinowy LM 2500', 'Piotr z Gdańska (żaglowiec ; XV w.)', 'Sprzęt wojskowy']","['Admiral Scheer (okręt)', 'Alabama (statek ; 1862-1864)', 'Amethyst (statek ; 1942-1957)', 'Antarès (okręt)', 'Ark Royal (okręt ; 1914-1944)', 'Bałtyk (okręt)', 'Batory (okręt wojenny)', 'Beagle (okręt ; 1820-1845)', 'Bismarck (okręt)', 'Błyskawica (okręt)', 'Breslau (okręt)', 'Burza (okręt)', 'Derfflinger (okręt)', 'Deutschland (okręt)', 'Dwunastu Apostołów (żaglowiec)', 'Dragon (okręt ; 1917-1944)', 'Emden (okręt)', 'Faà di Bruno (monitor)', 'Fuso (okręt)', 'Garland (okręt)', 'Generał Haller (okręt)', 'Generał Sosnkowski (okręt)', 'Giuseppe Garibaldi (pancernik)', 'Gneisenau (okręt)', 'Gniezno (okręt wojenny)', 'Górnik (okręt rakietowy)', 'Goeben (okręt)', 'Grom (okręt rakietowy)', 'Gryf (stawiacz min)', 'Hutnik (okręt rakietowy)', 'Jeannette (okręt)', 'Kaszub (korweta)', ""Knâz' Suvorov (okręt)"", 'Komendant Piłsudski (okręt)', 'Kontradmirał Xawery Czernicki (okręt)', 'Kraków (okręt wojenny ; 1990- )', 'Krążowniki', 'Kronan (okręt)', 'KU 30 (okręt)', 'Kuter artyleryjski', 'Kuter rakietowy', 'Kutry meldunkowe', 'Lotniskowce', 'Lublin (okręt wojenny)', 'Lützow (okręt)', 'Mazur (okręt)', 'Metalowiec (okręt rakietowy)', 'Monitory rzeczne', 'Möwe (okręt)', 'Niszczyciele (okręty)', 'Niszczyciele min', 'Nuestra Señora de las Mercedes (żaglowiec)', 'Okręt-baza wodnosamolotów', 'Okręty desantowe', 'Okręty patrolowe', 'Okręty podwodne', 'Okręty pomocnicze', 'Orkan (okręt rakietowy)', 'Pancerniki (okręty)', 'Piorun (okręt rakietowy)', 'Potëmkin (okręt)', 'Poznań (okręt wojenny)', 'Prinz Eugen (okręt)', 'Pueblo (statek)', 'Rolnik (okręt rakietowy)', 'Scharnhorst (okręt)', 'Schleswig-Holstein (okręt)', 'Scorpion (okręt)', 'Soleil Royal (żaglowiec)', 'Solen (okręt)', 'Sovereign of the Seas (żaglowiec)', 'Ścigacze artyleryjskie', 'Ścigacze okrętów podwodnych projektu 912M', 'Ścigacze torpedowo-artyleryjskie', 'Ślązak (korweta patrolowa)', 'Takao (okręt)', 'Thresher (okręt)', 'Tirpitz (okręt)', 'Torpedowce i kutry torpedowe', 'Toruń (okręt wojenny ; 1991- )', 'Trałowce', 'Triery', 'Varâg (okręt ; 1901-1925)', 'Vasa (okręt)', 'Vengeur du Peuple (okręt ; 1766-1794)', 'Victory (żaglowiec)', 'Viribus Unitis (okręt)', 'Wicher (okręt)', 'Wodnik (galeon)', 'Wodnik (okręt ; 1976- )', 'Wolf (okręt)']",,,
Piechota,"['Grenadierzy', 'Strzelcy piesi', 'Infantry']",['Wojsko'],,"['Hoplici', 'Janczarowie', 'Kosynierzy', 'Piechota morska', 'Piechota wybraniecka', 'Piechota zmechanizowana']",,,
Piractwo powietrzne,"['Terroryzm lotniczy', 'Terroryzm powietrzny', 'Hijacking of aircraft']","['Akt bezprawnej ingerencji', 'Przestępstwo']","['Bezpieczeństwo powietrzne państwa', 'Lotnictwo', 'Uprowadzenie', 'Terroryzm']",,,,
Pistolet,"['Pistolety', 'Pistols']",['Broń palna'],"['Amunicja pistoletowa', 'Odgłosy maszyn i narzędzi']","['Browning (pistolet)', 'Colt (pistolet)', 'Dreyse (pistolet)', 'Mauser (pistolet)', 'Pistolet maszynowy', 'Pistolet sygnałowy', 'PW Inka (pistolet)', 'Rex Zero 1 (pistolet)', 'Steyr (pistolet)', 'Vis (pistolet)', 'Wiatrówka (broń)']",,,
Pistolet maszynowy,['Broń maszynowa'],['Pistolet'],,,,,
Płatnerstwo,,"['Rzemiosło', 'Rzemiosło zbrojeniowe']","['Broń biała', 'Zbroja']",,,,
Poborowi,['Draftees'],"['Wojsko', 'Żołnierze']","['Ochotnicy (wojsko)', 'Pobór do wojska', 'Zasadnicza służba wojskowa']",,,,
Pociągi pancerne,"['Pociąg pancerny', 'Pancerne pociągi']",['Pociągi'],"['Drezyny pancerne', 'Kolejnictwo']","['Ilja Muromiec (pociąg pancerny ; 1942-1945)', 'Koźma Minin (pociąg pancerny)', 'Pociąg Pancerny Nr 2 ""Śmiały""', 'Pociąg Pancerny Nr 4 ""Hallerczyk""']",,,
Pociski,['Kule (wojskowość)'],['Amunicja'],"['Broń rakietowa', 'Kumulacja (wybuch)', 'Rozminowanie', 'Strzelanie']","['Pociski balistyczne', 'Pociski hipersoniczne', 'Pociski kierowane', 'Pociski moździerzowe', 'Pociski przeciwpancerne', 'Przeciwlotnicze pociski rakietowe', 'Smugacz', 'Szrapnel']",,,
Podoficerowie,,"['Wojsko', 'Żołnierze']",,,,,
Policja,,,['Psycholodzy policyjni'],,,,
Poszukiwania zaginionych,['Poszukiwanie zaginionych'],,"['Administracja', 'Child Alert', 'Osoby zaginione', 'Ratownictwo', 'Wojna']",,,,
Powódź,,['Klęski elementarne'],"['Hydrologia', 'Ochrona przeciwpowodziowa', 'Potop (mitologia)', 'Ryzyko powodziowe', 'Szkody popowodziowe', 'Wyżówka', 'Zator lodowy']","['Powódź glacjalna', 'Powódź tysiąclecia (1997)']",,,
Ochrona przeciwpowodziowa,"['Ochrona przeciw powodzi', 'Ochrona przeciw powodziom', 'Ochrona przed powodziami', 'Ochrona przed powodzią', 'Zapobieganie powodzi', 'Zapobieganie powodziom']",,"['Monitoring powodziowy', 'Obszary zalewowe', 'Parki gąbkowe', 'Powódź', 'Regulacja cieków', 'Ryzyko powodziowe', 'Wały przeciwpowodziowe', 'Zbiorniki retencyjne']",,,,
Pożarnictwo,['Pożar - zapobieganie i zwalczanie'],['Ratownictwo'],"['Bezpieczeństwo publiczne', 'Ceremoniał pożarniczy', 'Dochodzenia popożarowe', 'Fizyka budowli', 'Harcerskie drużyny pożarnicze', 'Hełmy strażackie', 'Inertyzacja', 'Inspektorzy ochrony przeciwpożarowej', 'Inżynierowie pożarnictwa', 'Kierujący akcją ratowniczą', 'Kominiarstwo', 'Muzea pożarnictwa', 'Ochotnicza straż pożarna (OSP)', 'Pożar', 'Remizy strażackie', 'Ryzyko pożarowe', 'Samochody pożarnicze', 'Skuteczność gaśnicza', 'Sport pożarniczy', 'Straż pożarna', 'Sygnalizacja pożarowa', 'Środki gaśnicze', 'Wykrywacz dymu']","['Gaszenie (pożarnictwo)', 'Ochrona przeciwpożarowa', 'Pożarnictwo okrętowe']",,,
Sprzęt ratowniczo-gaśniczy,"['Sprzęt gaśniczy', 'Sprzęt strażacki', 'Urządzenia gaśnicze', 'Urządzenia ratowniczo-gaśnicze']",,['Skuteczność gaśnicza'],"['Drzwi i bramy przeciwpożarowe', 'Gaśnice', 'Hydranty', 'Prądownica', 'Samochody pożarnicze', 'Tryskacz (pożarnictwo)', 'Wąż pożarniczy']",,,
Pożarnictwo okrętowe,,"['Pożarnictwo', 'Ratownictwo morskie']",,,,,
Służba więzienna,"['Służba penitencjarna', 'Strażnicy więzienni']",['Służby mundurowe'],"['Ceremoniał służby więziennej', 'Funkcjonariusze publiczni', 'Subkultura więzienna', 'Więzienna służba zdrowia', 'Więziennictwo']",,,,
Prawo wojenne,,['Prawo międzynarodowe'],"['Deklaracja petersburska (1868)', 'Internowani', 'Kapitulacja (wojsko)', 'Kontrybucja wojenna', 'Konwencja genewska (1864)', 'Ochrona ludności', 'Prawo do wojny', 'Prawo humanitarne międzynarodowe', 'Prawo wojskowe', 'Przestępstwo wojenne', 'Rekwizycje wojenne', 'Rozejm', 'Sądy wojenne', 'Wojna', 'Zakładnicy']",['Stan wojenny (prawo)'],,,
Proch,['Gunpowder'],['Materiały wybuchowe'],"['Cząsteczki GSR', 'Gazy prochowe', 'Ładunek miotający']",,,,
Przemysł wojenny,,['Przemysł'],"['Potencjał wojenny', 'Wojna']",['Przemysł zbrojeniowy'],,,
Przestępstwo wojenne,['Zbrodnie wojenne'],['Przestępstwo'],"['Ludobójstwo', 'Niemieckie nazistowskie obozy koncentracyjne', 'Obozy koncentracyjne', 'Praca przymusowa', 'Prawo wojenne', 'Procesy polityczne', 'Przestępcy wojenni', 'Zakładnicy', 'Zbrodnia międzynarodowa']","['Masakra w Mỹ Lai (1968)', 'Zbrodnia katyńska (1940)']",['Lista straceń'],,
Przysposobienie wojskowe,['Przysposobienie obronne'],['Kształcenie'],"['Edukacja dla bezpieczeństwa', 'Klasa wojskowa', 'Nauczyciele przysposobienia wojskowego', 'Obozy przysposobienia wojskowego', 'Obrona terytorium kraju', 'Organizacje paramilitarne', 'Szkolenie wojskowe', 'Szkolne koła LOK', 'Wyższe Kursy Obronne']",,,,
Puszkarstwo,,"['Rzemiosło', 'Rzemiosło zbrojeniowe']","['Działa', 'Ludwisarstwo', 'Odlewnictwo artystyczne']",,,,
Trałowce,"['Minowce', 'Minesweepers']",['Okręty wojenne'],"['Niszczyciele min', 'Trał morski']","['Jaskółka (trałowce)', 'Trałowce projektu 206F', 'Trałowce projektu 207', 'Trałowce projektu 254']",,,
Ratownictwo,,,"['Sprzęt ratowniczy', 'Katastrofy', 'Kierujący akcją ratowniczą', 'Klęski elementarne', 'Krajowy System Ratowniczo-Gaśniczy', 'Nieudzielenie pomocy', 'Numery alarmowe', 'Odpady poratownicze', 'Pies tropiący', 'Poszukiwania zaginionych', 'Sztuka przetrwania', 'Triaż', 'Wypadki', 'Zrzuty lotnicze']","['Pożarnictwo', 'Ratownictwo chemiczne', 'Ratownictwo drogowe', 'Ratownictwo górnicze', 'Ratownictwo górskie', 'Ratownictwo jaskiniowe', 'Ratownictwo kolejowe', 'Ratownictwo medyczne', 'Ratownictwo morskie', 'Ratownictwo weterynaryjne', 'Ratownictwo wodne', 'Ratownictwo wojskowe', 'Ratownictwo wysokościowe']",,,
Ratownictwo górnicze,,['Ratownictwo'],"['Katastrofy górnicze', 'Ratownicy górniczy']",,,,
Ratownictwo górskie,,['Ratownictwo'],"['Alpinizm', 'Medycyna górska', 'Ratownictwo jaskiniowe', 'Ratownictwo wysokościowe', 'Ratownicy górscy', 'Turystyka górska', 'Wypadki w górach']",,,,
Ratownictwo morskie,['Ratownictwo okrętowe'],['Ratownictwo'],"['Gospodarka morska', 'Katastrofy morskie', 'Łodzie ratunkowe', 'Statek na mieliźnie', 'Wraki']",['Pożarnictwo okrętowe'],,,
Ratownictwo wodne,,['Ratownictwo'],"['Kamizelka ratunkowa', 'Łodzie patrolowe', 'Pas ratowniczy', 'Ratownictwo jaskiniowe', 'Ratownictwo nurkowe', 'Ratownicy wodni', 'Sporty wodne', 'Turystyka wodna', 'Utonięcie']",,,,
